TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
KINP11;13,85;6,15;1,59;1.520,39;5,99;;;62.324.980,79;444,00;Ativa;
KNCR11;86,87;4,25;0,89;5.523.445,07;9,54;-19,11;-6,33;3.850.279.410,01;67.565,00;Ativa;
KNHY11;110,00;10,87;1,08;2.027.339,52;1,70;20,87;;1.093.944.959,36;6.548,00;Ativa;
MFAI11;91,73;16,26;0,97;98.414,59;13,44;;;28.802.721,72;3.756,00;Ativa;
MFII11;103,82;11,46;0,88;1.059.317,41;32,23;-4,81;-3,29;470.741.477,83;29.520,00;Ativa;
MGFF11;76,20;8,94;0,90;2.659.893,22;1,38;-5,87;-6,33;765.165.830,09;51.364,00;Ativa;
NVHO11;12,01;7,72;1,05;3.401,52;0,93;11,63;9,11;513.493.362,85;2.575,00;Ativa;
NVIF11B;227,50;1,30;1,37;;330,18;;;55.877.174,82;7,00;Ativa;
SFND11;83,07;103,65;4,63;;13,71;114,52;;17.631.763,89;55,00;Passiva;
SHPH11;801,00;3,48;0,99;170.066,89;0,44;-11,67;-5,83;500.734.117,94;3.131,00;Passiva;
SPAF11;0,00;0,00;;;3,14;;;11.305.743,83;1,00;Ativa;
TRXB11;119,00;6,88;1,12;2.387.522,25;3,26;;;264.631.855,70;118,00;Passiva;
TRXF11;101,00;7,67;0,95;3.232.150,74;1,05;;;598.611.038,92;28.515,00;Ativa;
TSNC11;0,00;0,00;;;2,44;0,86;;98.678.322,71;66,00;Ativa;
MXRF11;9,99;8,60;1,00;10.055.017,74;24,84;2,44;-0,56;2.259.874.256,91;393.767,00;Ativa;
TOUR11;110,00;20,41;0,19;46.117,76;17,28;;;5.833.523,87;207,00;Ativa;
ATSA11;107,00;0,00;1,08;5.501,74;1,25;;;172.476.158,75;255,00;Passiva;
KNRI11;139,00;5,79;0,89;5.646.069,48;2,41;-4,39;-1,32;3.769.251.648,72;235.231,00;Ativa;
SPTW11;55,70;27,74;1,08;350.536,52;5,44;29,93;-8,38;93.448.162,77;17.378,00;Passiva;
EDGA11;26,29;6,88;0,33;59.656,44;0,47;-12,50;-12,26;300.270.482,22;7.549,00;Passiva;
FIIP11B;187,75;6,23;0,97;136.068,22;2,60;-11,97;0,42;179.093.742,38;9.027,00;Passiva;
FIVN11;3,40;0,00;0,48;64.762,44;0,05;;-4,07;64.797.779,29;2.725,00;Passiva;
BMLC11;92,52;7,45;0,87;41.199,81;2,60;15,87;4,53;106.653.765,90;1.596,00;Ativa;
BNFS11;124,80;9,71;1,20;47.060,22;4,84;5,81;3,67;72.607.805,60;3.368,00;Ativa;
RCFF11;100,99;4,98;1,03;1.441,50;9,60;;;31.782.377,65;81,00;Ativa;
TCPF11;1,26;1.242,06;0,01;;6,13;;;32.377.415,77;52,00;Ativa;
EDFO11B;255,00;6,74;1,19;29.889,65;1,25;-6,91;;50.449.075,35;592,00;Passiva;
GRLV11;104,51;104,42;17,51;753.753,27;2.489,44;135,25;-2,08;6.407.890,29;2.604,00;Passiva;
PLRI11;44,44;6,59;0,80;18.065,63;2,06;-19,72;-17,83;52.788.623,53;793,00;Ativa;
ABCP11;71,20;4,61;0,80;115.246,00;1,21;-7,10;-0,21;1.077.525.130,29;19.203,00;Passiva;
JPPA11;98,44;9,77;0,95;50.458,56;15,10;;;62.661.769,59;384,00;Ativa;
JPPC11;402,00;8,35;0,87;;10,69;;-12,50;25.364.609,24;79,00;Ativa;
KNRE11;2,35;2,97;0,94;16.759,26;6,71;;-38,27;46.336.196,31;7.034,00;Ativa;
OURE11;86,80;9,42;0,87;88.902,33;5,33;7,46;-4,12;82.588.575,80;3.622,00;Ativa;
PLCR11;92,80;8,87;0,95;664.308,59;9,52;;;205.645.868,44;6.115,00;Ativa;
ARRI11;107,37;10,61;1,12;207.014,78;1,47;;;37.779.634,16;3.318,00;Ativa;
BARI11;103,29;14,16;1,01;2.629.042,67;18,35;;;471.703.935,45;26.905,00;Ativa;
DRIT11B;115,00;3,68;0,88;2.569,53;0,90;-18,28;-3,76;60.692.337,91;302,00;Ativa;
FTCE11B;2.950,01;12,17;1,09;;6,26;;;2.381.264.954,43;10,00;Ativa;
FVBI11;94,97;68,95;;69.079,00;;142,93;-1,85;0,00;0,00;Passiva;
GCFF11;88,50;9,70;0,93;91.827,41;5,03;;;32.379.342,98;1.484,00;Ativa;
BRIM11;1.200,01;0,00;1,24;246.002,00;5,58;;;120.473.703,05;110,00;Ativa;
HABT11;123,35;13,90;1,23;3.185.904,00;25,47;;;541.658.651,35;27.842,00;Ativa;
CFHI11;0,00;0,00;;;31,70;;;74.900.061,40;57,00;Ativa;
ERPA11;140,00;0,00;1,34;140,00;0,17;;;51.844.937,69;12,00;Passiva;
PRSN11B;0,64;4,28;1,42;13.868,74;12,58;;;23.294.463,73;1.376,00;Ativa;
PRSV11;135,77;4,10;0,57;12.548,22;5,99;28,92;-26,07;46.355.327,15;1.230,00;Passiva;
SCPF11;9,00;2,14;0,71;12.874,15;2,02;-25,41;-9,40;53.134.151,13;4.699,00;Ativa;
SDIL11;90,06;7,69;0,90;1.117.693,26;11,51;-3,32;-0,25;641.814.142,33;45.975,00;Ativa;
BPRP11;112,00;8,26;1,04;33.649,31;0,07;;;145.794.396,65;196,00;Passiva;
RNGO11;62,46;7,95;0,62;199.393,26;1,43;-5,29;-8,58;270.942.156,09;15.881,00;Passiva;
THRA11;138,50;35,80;1,22;105.789,96;1,84;91,64;11,47;167.623.420,09;2.219,00;Passiva;
TORM13;833,00;5,42;0,46;833,00;33,03;;;18.076.809,44;324,00;Ativa;
VCJR11;94,50;9,41;0,96;836.626,67;26,44;;;1.148.318.898,79;6.697,00;Ativa;
CRFF11;72,36;7,30;0,81;47.566,07;0,54;;;61.365.398,38;1.869,00;Ativa;
EURO11;205,40;7,39;0,72;72.163,89;1,86;19,95;5,73;108.870.706,82;2.417,00;Passiva;
BLMO11;26.004,50;0,00;1,01;52.009,00;10,04;;;97.846.867,88;95,00;Ativa;
JSRE11;87,45;7,24;0,77;2.472.239,04;0,83;-2,06;-4,94;2.356.825.185,46;44.351,00;Ativa;
JTPR11;2.517,00;0,12;22,71;;7,50;;;23.796.389,95;9,00;Ativa;
KFOF11;86,10;7,37;0,84;759.723,30;1,16;;;468.185.948,21;7.010,00;Ativa;
NEWL11;104,99;9,89;0,98;198.704,67;16,11;;;218.905.446,39;1.550,00;Ativa;
NEWU11;35,26;0,31;0,56;8.788,70;2,38;58,77;;46.900.867,62;1.812,00;Ativa;
NPAR11;18,45;233,07;0,16;39.110,32;96,63;;-46,29;13.797.678,05;52,00;Ativa;
NSLU11;238,50;9,96;1,12;228.033,26;1,97;7,18;1,73;243.923.226,97;7.631,00;Passiva;
RBTS11;1.000,00;0,00;0,95;;8,23;;;59.393.774,96;56,00;Ativa;
RBVA11;112,50;9,69;0,99;1.331.645,89;0,33;3,09;2,61;1.320.790.070,80;40.696,00;Ativa;
RBVO11;12,45;6,54;0,54;5.810,63;2,26;-41,91;-40,78;11.801.375,84;2.066,00;--;
RCFA11;0,75;0,00;0,47;199.844,85;0,64;;;18.263.993,00;3.617,00;Passiva;
ALMI11;1.170,27;0,00;0,55;67.806,37;2,23;;-6,95;229.137.188,63;3.417,00;Passiva;
CPFF11;81,26;9,74;0,99;1.200.942,93;0,80;;;325.884.515,48;11.978,00;Ativa;
VPSI11;0,00;0,00;;;0,15;-10,10;;147.044.918,71;57,00;Passiva;
XPHT12;51,38;0,00;0,63;43.286,75;0,67;;;330.389.677,16;1.550,00;Ativa;
XPIN11;99,82;7,44;0,90;1.312.402,33;4,93;;;729.986.712,29;52.224,00;Ativa;
XPLG11;109,79;6,44;0,99;6.573.517,52;15,36;-2,44;4,39;2.993.276.336,48;263.359,00;Ativa;
XPML11;103,23;3,74;0,95;3.797.119,37;3,09;-16,14;1,91;2.000.303.504,05;251.800,00;Ativa;
XPPR11;65,69;10,63;0,76;1.801.078,48;4,30;;;627.324.285,79;40.876,00;Ativa;
XPSF11;91,90;9,73;0,96;1.633.699,59;2,39;;;414.931.224,93;18.527,00;Ativa;
XTED11;6,95;0,00;0,50;14.344,93;1,14;;-27,20;25.862.448,60;4.968,00;Ativa;
